epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.325,1.70144,3.96417,2.23277,0.90602,0.84588,0.94158,0.85188,0.91287,1.36598,1.6502,0.00332126,0.00332126,0.00332126
2,476.105,1.59162,1.48644,2.1125,0.88442,0.85394,0.93751,0.81564,1.04448,1.31561,1.73576,0.00652283,0.00652283,0.00652283
3,704.223,1.72898,1.30571,2.1963,0.78189,0.70217,0.78854,0.57536,1.87181,3.26626,2.2253,0.0095924,0.0095924,0.0095924
4,932.141,1.74156,1.21333,2.2119,0.88242,0.84149,0.9347,0.80849,1.05404,1.13228,1.77584,0.009406,0.009406,0.009406
5,1159.73,1.62413,1.06725,2.15005,0.94245,0.92435,0.97968,0.8817,0.85358,0.63247,1.66912,0.009208,0.009208,0.009208
6,1387.15,1.55917,0.98392,2.10897,0.94863,0.93454,0.98175,0.86024,1.07,0.63017,1.75566,0.00901,0.00901,0.00901
7,1614.54,1.496,0.9349,2.08321,0.95633,0.9425,0.98192,0.90856,0.75513,0.52671,1.63979,0.008812,0.008812,0.008812
8,1842.04,1.45531,0.87408,2.05872,0.96095,0.94794,0.98521,0.91114,0.78223,0.50781,1.65416,0.008614,0.008614,0.008614
9,2070.01,1.40705,0.84654,2.04482,0.95144,0.95232,0.98375,0.924,0.69402,0.49684,1.62574,0.008416,0.008416,0.008416
10,2297.57,1.37506,0.82781,2.02326,0.97394,0.94393,0.98931,0.93922,0.65518,0.4246,1.61358,0.008218,0.008218,0.008218
11,2525.11,1.34347,0.79716,2.00943,0.97047,0.96469,0.99087,0.94243,0.63543,0.40355,1.6032,0.00802,0.00802,0.00802
12,2752.5,1.31546,0.77256,2.0016,0.97492,0.96167,0.99098,0.9483,0.60957,0.3935,1.60152,0.007822,0.007822,0.007822
13,2980.48,1.28708,0.75557,1.98832,0.97174,0.96582,0.99143,0.95121,0.58173,0.38574,1.58907,0.007624,0.007624,0.007624
14,3208.45,1.26132,0.73748,1.98248,0.977,0.95773,0.99048,0.95296,0.57329,0.36154,1.58104,0.007426,0.007426,0.007426
15,3436.06,1.24871,0.72162,1.965,0.97684,0.96768,0.99202,0.95311,0.57315,0.35501,1.58612,0.007228,0.007228,0.007228
16,3663.61,1.23015,0.71144,1.96106,0.97674,0.97036,0.99295,0.95763,0.56669,0.33966,1.58473,0.00703,0.00703,0.00703
17,3891.42,1.20596,0.69709,1.94944,0.97823,0.96701,0.99236,0.96005,0.55601,0.33824,1.57159,0.006832,0.006832,0.006832
18,4119.28,1.19274,0.68041,1.94797,0.98354,0.97242,0.99357,0.96257,0.53746,0.31395,1.57007,0.006634,0.006634,0.006634
19,4347.09,1.18936,0.68013,1.94704,0.98064,0.97191,0.993,0.96294,0.52758,0.31945,1.57181,0.006436,0.006436,0.006436
20,4574.59,1.18698,0.67057,1.94598,0.99057,0.96881,0.99366,0.96441,0.51892,0.30431,1.56778,0.006238,0.006238,0.006238
21,4801.56,1.15794,0.65482,1.93377,0.98743,0.9715,0.9935,0.96499,0.5143,0.30707,1.56197,0.00604,0.00604,0.00604
22,5028.75,1.13685,0.63867,1.91802,0.98376,0.97655,0.99349,0.96708,0.51422,0.29815,1.56312,0.005842,0.005842,0.005842
23,5257.05,1.13301,0.6415,1.92357,0.98254,0.97474,0.99331,0.9659,0.50309,0.29726,1.55578,0.005644,0.005644,0.005644
24,5484.15,1.12896,0.63314,1.9139,0.9847,0.97898,0.99387,0.9705,0.49438,0.28064,1.55997,0.005446,0.005446,0.005446
25,5711.22,1.10976,0.62046,1.9131,0.98915,0.97423,0.99402,0.97015,0.48393,0.27926,1.55641,0.005248,0.005248,0.005248
26,5938.64,1.1039,0.61666,1.90999,0.98663,0.98067,0.99419,0.97249,0.47561,0.26678,1.55218,0.00505,0.00505,0.00505
27,6167.54,1.09152,0.60596,1.89868,0.98801,0.98067,0.99432,0.97246,0.47248,0.26538,1.55091,0.004852,0.004852,0.004852
28,6394.7,1.0791,0.60045,1.90286,0.98959,0.9796,0.99433,0.9733,0.46005,0.25976,1.54602,0.004654,0.004654,0.004654
29,6622.15,1.06589,0.58845,1.89536,0.98729,0.98131,0.99427,0.97262,0.46479,0.25923,1.5473,0.004456,0.004456,0.004456
30,6849.8,1.0633,0.58944,1.89302,0.98564,0.98273,0.99428,0.97404,0.45969,0.25601,1.5464,0.004258,0.004258,0.004258
31,7077.64,1.05214,0.57804,1.88648,0.99191,0.97947,0.99423,0.97342,0.4559,0.2544,1.54565,0.00406,0.00406,0.00406
32,7304.82,1.03633,0.56706,1.88815,0.99192,0.98054,0.99455,0.97475,0.45083,0.24383,1.54502,0.003862,0.003862,0.003862
33,7533.09,1.03417,0.56531,1.88265,0.99029,0.98119,0.99434,0.9738,0.44512,0.24601,1.54113,0.003664,0.003664,0.003664
